2019-01-11 15:04:28.670859|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.4.0 (2018-09-10 07:29:44)
2019-01-11 15:04:28.671862|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (17134) x64 (AMD or Intel) Binary: 64bit
2019-01-11 15:04:28.671862|INFO    |ServerLibPriv |   |Using hardware aes
2019-01-11 15:04:28.673861|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2019-01-11 15:04:28.673861|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2019-01-11 15:04:28.674859|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2019-01-11 15:04:28.868847|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2019-01-11 15:04:28.974838|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2019-01-11 15:04:29.200865|INFO    |Accounting    |   |Licensing Information
2019-01-11 15:04:29.200865|INFO    |Accounting    |   |licensed to       : Anonymous
2019-01-11 15:04:29.200865|INFO    |Accounting    |   |type              : No License
2019-01-11 15:04:29.200865|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2019-01-11 15:04:29.200865|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2019-01-11 15:04:29.200865|INFO    |Accounting    |   |max virtualservers: 1
2019-01-11 15:04:29.200865|INFO    |Accounting    |   |max slots         : 32
2019-01-11 15:04:32.165631|INFO    |              |   |Puzzle precompute time: 2944
2019-01-11 15:04:33.080621|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2019-01-11 15:04:36.856385|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2019-01-11 15:04:36.929326|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
