2018-09-25 23:20:04.806946|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.4.0 (2018-09-10 07:29:44)
2018-09-25 23:20:04.806946|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (17134) x64 (AMD or Intel) Binary: 64bit
2018-09-25 23:20:04.807945|INFO    |ServerLibPriv |   |Using hardware aes
2018-09-25 23:20:04.807945|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-09-25 23:20:04.807945|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-09-25 23:20:04.808945|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-09-25 23:20:04.824940|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2018-09-25 23:20:04.829950|INFO    |Accounting    |   |Licensing Information
2018-09-25 23:20:04.829950|INFO    |Accounting    |   |licensed to       : Anonymous
2018-09-25 23:20:04.829950|INFO    |Accounting    |   |type              : No License
2018-09-25 23:20:04.829950|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2018-09-25 23:20:04.829950|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2018-09-25 23:20:04.829950|INFO    |Accounting    |   |max virtualservers: 1
2018-09-25 23:20:04.829950|INFO    |Accounting    |   |max slots         : 32
2018-09-25 23:20:04.933973|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2018-09-25 23:20:05.702140|INFO    |              |   |Puzzle precompute time: 860
2018-09-25 23:20:05.703144|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2018-09-25 23:20:05.733144|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2018-09-25 23:20:05.733144|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
