2018-10-29 09:14:40.323431|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.4.0 (2018-09-10 07:29:44)
2018-10-29 09:14:40.324431|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (17134) x64 (AMD or Intel) Binary: 64bit
2018-10-29 09:14:40.324431|INFO    |ServerLibPriv |   |Using hardware aes
2018-10-29 09:14:40.325430|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-10-29 09:14:40.325430|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-10-29 09:14:40.326431|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-10-29 09:14:40.372429|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2018-10-29 09:14:40.379429|INFO    |Accounting    |   |Licensing Information
2018-10-29 09:14:40.379429|INFO    |Accounting    |   |licensed to       : Anonymous
2018-10-29 09:14:40.379429|INFO    |Accounting    |   |type              : No License
2018-10-29 09:14:40.379429|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2018-10-29 09:14:40.379429|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2018-10-29 09:14:40.379429|INFO    |Accounting    |   |max virtualservers: 1
2018-10-29 09:14:40.379429|INFO    |Accounting    |   |max slots         : 32
2018-10-29 09:14:40.564416|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2018-10-29 09:14:40.882397|ERROR   |Accounting    |   |local accounting reports an already running instance, instance will shutdown
2018-10-29 09:14:45.076140|INFO    |              |   |Puzzle precompute time: 4669
2018-10-29 09:14:45.130140|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2018-10-29 09:14:45.503115|ERROR   |VirtualSvrMgr |   |loading VirtualServer(1) failed to start, error: port already in use
2018-10-29 09:14:45.520114|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2018-10-29 09:14:45.521116|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
