2018-10-01 18:37:37.472355|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.4.0 (2018-09-10 07:29:44)
2018-10-01 18:37:37.487982|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (17134) x64 (AMD or Intel) Binary: 64bit
2018-10-01 18:37:37.487982|INFO    |ServerLibPriv |   |Using hardware aes
2018-10-01 18:37:37.503608|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-10-01 18:37:37.503608|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-10-01 18:37:37.503608|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-10-01 18:37:37.613029|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2018-10-01 18:37:37.644230|INFO    |Accounting    |   |Licensing Information
2018-10-01 18:37:37.644230|INFO    |Accounting    |   |licensed to       : Anonymous
2018-10-01 18:37:37.644230|INFO    |Accounting    |   |type              : No License
2018-10-01 18:37:37.644230|INFO    |Accounting    |   |starting date     : Sun Jul  1 00:00:00 2018
2018-10-01 18:37:37.644230|INFO    |Accounting    |   |ending date       : Wed Jul 31 00:00:00 2019
2018-10-01 18:37:37.644230|INFO    |Accounting    |   |max virtualservers: 1
2018-10-01 18:37:37.644230|INFO    |Accounting    |   |max slots         : 32
2018-10-01 18:37:37.847537|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2018-10-01 18:37:38.550549|INFO    |              |   |Puzzle precompute time: 813
2018-10-01 18:37:38.550549|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2018-10-01 18:37:38.550549|INFO    |VirtualSvrMgr |   |executing monthly interval
2018-10-01 18:37:38.550549|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2018-10-01 18:37:38.675561|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2018-10-01 18:37:38.675561|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2018-10-01 19:22:38.960086|ERROR   |              |   |TS3ANetwork::Send failed error: 10022
2018-10-01 19:22:38.960086|ERROR   |              |   |TS3ANetwork::Send failed error: 10022
2018-10-02 18:37:37.945498|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2018-10-03 18:37:41.356007|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
